telegram_poll_id,question_id
5838958432039731971,דגשדגגדש
5838958432039731972,שדגשדג
5839417907641058243,דגשדגגדש
5838958432039731974,32
5838958432039731975,33
5839417907641058244,32
5839417907641058245,33
5837001082298958819,32
5837001082298958820,33
5838958432039731978,34
5838958432039731979,35
5839417907641058246,34
5839417907641058247,35
5837001082298958821,34
5837001082298958822,35
5838958432039731980,36
5838958432039731981,37
5838958432039731982,38
5839417907641058248,36
5839417907641058249,37
5839417907641058250,38
5837001082298958823,36
5837001082298958824,37
5837001082298958825,38
5838958432039731983,39
5838958432039731984,40
5839417907641058251,39
5839417907641058252,40
5837001082298958826,39
5837001082298958827,40
5838958432039731988,41
5838958432039731989,42
5839417907641058253,41
5839417907641058254,42
5837001082298958828,41
5837001082298958829,42
5838958432039731991,43
5838958432039731992,44
5838958432039731993,45
5839417907641058255,43
5839417907641058256,44
5839417907641058257,45
5837001082298958830,43
5837001082298958831,44
5837001082298958832,45
5838958432039731997,46
5838958432039731998,47
5838958432039731999,48
5839417907641058258,46
5839417907641058259,47
5839417907641058260,48
5837001082298958833,46
5837001082298958834,47
5837001082298958835,48
5838958432039732003,49
5838958432039732004,50
5839417907641058261,49
5839417907641058262,50
5837001082298958837,49
5837001082298958838,50
5838958432039732009,51
5838958432039732010,52
5838958432039732011,53
5839417907641058263,51
5839417907641058264,52
5839417907641058265,53
5837001082298958839,51
5837001082298958840,52
5837001082298958841,53
5838958432039732016,54
5838958432039732017,55
5838958432039732018,56
5839417907641058267,54
5839417907641058268,55
5839417907641058269,56
5837001082298958844,54
5837001082298958845,55
5837001082298958846,56
5838958432039732020,57
5838958432039732021,58
5839417907641058270,57
5839417907641058271,58
5837001082298958847,57
5837001082298958848,58
5838958432039732023,59
5838958432039732024,60
5839417907641058272,59
5839417907641058273,60
5837001082298958849,59
5837001082298958850,60
5838958432039732027,61
5838958432039732028,62
5839417907641058274,61
5839417907641058275,62
5837001082298958851,61
5837001082298958852,62
5838958432039732030,63
5838958432039732031,64
5839417907641058277,63
5839417907641058278,64
5837001082298958853,63
5837001082298958854,64
5838958432039732033,65
5838958432039732034,66
5839417907641058279,65
5839417907641058280,66
5837001082298958855,65
5837001082298958856,66
5838958432039732040,67
5838958432039732041,68
5839417907641058284,67
5839417907641058285,68
5839252882112643674,67
5839252882112643675,68
5838958432039732047,69
5838958432039732048,70
5838958432039732049,71
5838958432039732050,72
5839417907641058286,71
5839417907641058287,72
5839252882112643676,71
5839252882112643677,72
5838958432039732053,73
5838958432039732054,74
5839417907641058288,73
5839417907641058289,74
5839252882112643678,73
5839252882112643679,74
5838958432039732066,75
5838958432039732067,76
5839417907641058293,75
5839417907641058294,76
5839252882112643680,75
5839252882112643681,76
5838958432039732068,77
5838958432039732069,78
5839417907641058295,77
5839417907641058296,78
5839252882112643682,77
5839252882112643683,78
